Date,Region,Product,Quantity,UnitPrice,CustomerSegment,Category,Sales,Profit,Year,Month,YearMonth
2021-01-10,South,Delta,2,897.06,Corporate,Electronics,1794.12,331.94,2021,1,2021-01-01
2021-01-10,East,Epsilon,2,997.72,Home Office,Furniture,1995.44,514.9,2021,1,2021-01-01
2021-01-11,West,Alpha,5,456.69,Home Office,Electronics,2283.45,129.39,2021,1,2021-01-01
2021-01-11,South,Beta,3,824.31,Home Office,Furniture,2472.93,389.54,2021,1,2021-01-01
2021-01-11,West,Beta,2,160.88,Home Office,Furniture,321.76,48.06,2021,1,2021-01-01
2021-01-11,North,Beta,3,574.94,Consumer,Furniture,1724.82,25.66,2021,1,2021-01-01
2021-01-12,South,Delta,5,311.53,Consumer,Electronics,1557.65,356.21,2021,1,2021-01-01
2021-01-12,South,Delta,4,180.25,Consumer,Electronics,721.0,18.32,2021,1,2021-01-01
2021-01-13,South,Gamma,4,963.57,Consumer,Office Supplies,3854.28,1196.22,2021,1,2021-01-01
2021-01-14,South,Epsilon,4,370.15,Consumer,Furniture,1480.6,390.83,2021,1,2021-01-01
2021-01-14,East,Beta,1,16.07,Corporate,Furniture,16.07,-5.2,2021,1,2021-01-01
2021-01-14,West,Alpha,2,812.3,Corporate,Electronics,1624.6,131.63,2021,1,2021-01-01
2021-01-15,East,Delta,1,161.28,Home Office,Electronics,161.28,12.55,2021,1,2021-01-01
2021-01-15,South,Beta,3,51.94,Corporate,Furniture,155.82,11.59,2021,1,2021-01-01
2021-01-16,West,Gamma,3,329.33,Consumer,Office Supplies,987.99,148.89,2021,1,2021-01-01
2021-01-17,West,Gamma,5,890.32,Corporate,Office Supplies,4451.6,957.42,2021,1,2021-01-01
2021-01-17,North,Gamma,3,959.11,Consumer,Office Supplies,2877.33,181.72,2021,1,2021-01-01
2021-01-18,West,Epsilon,3,11.32,Corporate,Furniture,33.96,-30.88,2021,1,2021-01-01
2021-01-18,South,Delta,2,818.23,Home Office,Electronics,1636.46,69.72,2021,1,2021-01-01
2021-01-20,South,Beta,4,684.72,Corporate,Furniture,2738.88,379.04,2021,1,2021-01-01
2021-01-21,North,Gamma,5,191.9,Consumer,Office Supplies,959.5,226.41,2021,1,2021-01-01
2021-01-21,South,Epsilon,4,17.65,Home Office,Furniture,70.6,-7.04,2021,1,2021-01-01
2021-01-21,North,Alpha,6,545.51,Consumer,Electronics,3273.06,399.27,2021,1,2021-01-01
2021-01-22,South,Delta,3,140.53,Consumer,Electronics,421.59,79.29,2021,1,2021-01-01
2021-01-22,North,Gamma,4,825.6,Home Office,Office Supplies,3302.4,839.94,2021,1,2021-01-01
2021-01-22,East,Delta,7,687.7,Consumer,Electronics,4813.9,1277.93,2021,1,2021-01-01
2021-01-23,East,Alpha,2,478.95,Consumer,Electronics,957.9,295.95,2021,1,2021-01-01
2021-01-23,South,Epsilon,5,838.01,Consumer,Furniture,4190.05,448.65,2021,1,2021-01-01
2021-01-24,West,Alpha,2,425.71,Corporate,Electronics,851.42,114.4,2021,1,2021-01-01
2021-01-25,North,Gamma,1,472.5,Consumer,Office Supplies,472.5,72.62,2021,1,2021-01-01
2021-01-25,West,Alpha,4,316.16,Consumer,Electronics,1264.64,420.76,2021,1,2021-01-01
2021-01-25,North,Epsilon,5,663.0,Home Office,Furniture,3315.0,442.87,2021,1,2021-01-01
2021-01-27,East,Gamma,5,446.95,Consumer,Office Supplies,2234.75,462.8,2021,1,2021-01-01
2021-01-27,East,Alpha,6,189.51,Consumer,Electronics,1137.06,347.31,2021,1,2021-01-01
2021-01-28,North,Delta,5,316.58,Consumer,Electronics,1582.9,487.34,2021,1,2021-01-01
2021-01-28,North,Epsilon,2,740.11,Home Office,Furniture,1480.22,334.57,2021,1,2021-01-01
2021-01-28,South,Beta,6,273.02,Home Office,Furniture,1638.12,179.61,2021,1,2021-01-01
2021-01-29,West,Epsilon,1,416.73,Consumer,Furniture,416.73,84.45,2021,1,2021-01-01
2021-01-29,North,Gamma,4,454.96,Consumer,Office Supplies,1819.84,539.93,2021,1,2021-01-01
2021-01-29,West,Beta,2,793.82,Corporate,Furniture,1587.64,463.69,2021,1,2021-01-01
2021-01-29,South,Delta,6,519.62,Home Office,Electronics,3117.72,1033.34,2021,1,2021-01-01
2021-01-29,East,Alpha,5,123.18,Corporate,Electronics,615.9,119.55,2021,1,2021-01-01
2021-02-01,South,Alpha,5,501.4,Consumer,Electronics,2507.0,596.18,2021,2,2021-02-01
2021-02-03,East,Alpha,3,815.5,Consumer,Electronics,2446.5,61.33,2021,2,2021-02-01
2021-02-03,South,Delta,3,490.75,Consumer,Electronics,1472.25,123.61,2021,2,2021-02-01
2021-02-03,North,Delta,7,561.32,Consumer,Electronics,3929.24,521.98,2021,2,2021-02-01
2021-02-04,West,Gamma,3,974.57,Consumer,Office Supplies,2923.71,823.5,2021,2,2021-02-01
2021-02-04,South,Beta,6,990.66,Corporate,Furniture,5943.96,233.63,2021,2,2021-02-01
2021-02-04,North,Alpha,5,843.93,Consumer,Electronics,4219.65,647.23,2021,2,2021-02-01
2021-02-05,West,Alpha,4,888.71,Corporate,Electronics,3554.84,1075.25,2021,2,2021-02-01
2021-02-06,South,Epsilon,4,175.75,Consumer,Furniture,703.0,-33.17,2021,2,2021-02-01
2021-02-06,West,Epsilon,1,770.73,Consumer,Furniture,770.73,202.21,2021,2,2021-02-01
2021-02-06,West,Beta,3,456.7,Home Office,Furniture,1370.1,59.66,2021,2,2021-02-01
2021-02-07,South,Alpha,4,662.9,Corporate,Electronics,2651.6,644.45,2021,2,2021-02-01
2021-02-07,West,Alpha,3,677.49,Consumer,Electronics,2032.47,397.36,2021,2,2021-02-01
2021-02-08,South,Alpha,5,162.21,Home Office,Electronics,811.05,114.41,2021,2,2021-02-01
2021-02-08,East,Alpha,2,763.66,Corporate,Electronics,1527.32,86.16,2021,2,2021-02-01
2021-02-08,South,Beta,4,30.87,Corporate,Furniture,123.48,-20.91,2021,2,2021-02-01
2021-02-09,West,Alpha,2,314.67,Consumer,Electronics,629.34,167.69,2021,2,2021-02-01
2021-02-09,South,Epsilon,3,487.12,Corporate,Furniture,1461.36,142.39,2021,2,2021-02-01
2021-02-10,South,Epsilon,2,454.99,Consumer,Furniture,909.98,94.15,2021,2,2021-02-01
2021-02-10,South,Delta,1,523.13,Consumer,Electronics,523.13,18.25,2021,2,2021-02-01
2021-02-10,East,Gamma,3,782.42,Consumer,Office Supplies,2347.26,677.1,2021,2,2021-02-01
2021-02-11,South,Beta,5,792.21,Consumer,Furniture,3961.05,887.84,2021,2,2021-02-01
2021-02-11,North,Gamma,6,225.07,Corporate,Office Supplies,1350.42,166.82,2021,2,2021-02-01
2021-02-12,East,Delta,5,995.57,Consumer,Electronics,4977.85,223.01,2021,2,2021-02-01
2021-02-16,South,Alpha,5,96.56,Corporate,Electronics,482.8,31.72,2021,2,2021-02-01
2021-02-16,South,Epsilon,4,266.41,Corporate,Furniture,1065.64,148.38,2021,2,2021-02-01
2021-02-16,West,Gamma,4,43.22,Consumer,Office Supplies,172.88,-30.25,2021,2,2021-02-01
2021-02-16,West,Alpha,4,264.84,Home Office,Electronics,1059.36,215.96,2021,2,2021-02-01
2021-02-16,West,Epsilon,4,344.48,Corporate,Furniture,1377.92,291.12,2021,2,2021-02-01
2021-02-17,North,Alpha,4,603.0,Consumer,Electronics,2412.0,116.15,2021,2,2021-02-01
2021-02-20,West,Alpha,3,418.86,Consumer,Electronics,1256.58,66.97,2021,2,2021-02-01
2021-02-20,North,Beta,4,864.4,Corporate,Furniture,3457.6,1056.81,2021,2,2021-02-01
2021-02-20,North,Delta,3,545.81,Home Office,Electronics,1637.43,67.77,2021,2,2021-02-01
2021-02-22,West,Beta,3,573.08,Corporate,Furniture,1719.24,15.91,2021,2,2021-02-01
2021-02-23,South,Alpha,5,156.82,Consumer,Electronics,784.1,186.19,2021,2,2021-02-01
2021-02-23,East,Epsilon,3,956.7,Corporate,Furniture,2870.1,229.25,2021,2,2021-02-01
2021-02-24,North,Beta,5,78.9,Consumer,Furniture,394.5,40.58,2021,2,2021-02-01
2021-02-24,North,Delta,6,631.05,Corporate,Electronics,3786.3,1215.63,2021,2,2021-02-01
2021-02-24,South,Delta,4,378.74,Consumer,Electronics,1514.96,194.81,2021,2,2021-02-01
2021-02-25,East,Delta,7,628.31,Corporate,Electronics,4398.17,419.37,2021,2,2021-02-01
2021-02-27,North,Gamma,5,156.48,Consumer,Office Supplies,782.4,98.83,2021,2,2021-02-01
2021-02-28,West,Epsilon,3,217.33,Corporate,Furniture,651.99,176.89,2021,2,2021-02-01
2021-03-02,West,Epsilon,3,965.23,Consumer,Furniture,2895.69,448.79,2021,3,2021-03-01
2021-03-02,East,Beta,7,844.77,Corporate,Furniture,5913.39,355.59,2021,3,2021-03-01
2021-03-02,South,Beta,2,748.8,Consumer,Furniture,1497.6,98.83,2021,3,2021-03-01
2021-03-03,East,Epsilon,4,377.1,Consumer,Furniture,1508.4,247.88,2021,3,2021-03-01
2021-03-03,East,Beta,3,367.2,Corporate,Furniture,1101.6,42.18,2021,3,2021-03-01
2021-03-04,West,Beta,5,187.56,Corporate,Furniture,937.8,293.52,2021,3,2021-03-01
2021-03-04,North,Epsilon,7,572.15,Consumer,Furniture,4005.05,1248.11,2021,3,2021-03-01
2021-03-06,North,Alpha,3,677.21,Corporate,Electronics,2031.63,578.89,2021,3,2021-03-01
2021-03-07,South,Alpha,3,936.44,Consumer,Electronics,2809.32,721.49,2021,3,2021-03-01
2021-03-08,East,Beta,7,883.39,Consumer,Furniture,6183.73,672.04,2021,3,2021-03-01
2021-03-10,West,Alpha,5,497.02,Consumer,Electronics,2485.1,767.37,2021,3,2021-03-01
2021-03-10,East,Beta,5,938.31,Corporate,Furniture,4691.55,1178.39,2021,3,2021-03-01
2021-03-10,West,Epsilon,5,945.63,Corporate,Furniture,4728.15,1289.1,2021,3,2021-03-01
2021-03-13,South,Epsilon,7,541.84,Consumer,Furniture,3792.88,206.03,2021,3,2021-03-01
2021-03-14,East,Beta,2,103.37,Consumer,Furniture,206.74,-38.06,2021,3,2021-03-01
2021-03-16,East,Delta,4,749.1,Consumer,Electronics,2996.4,226.4,2021,3,2021-03-01
2021-03-16,North,Gamma,4,780.03,Consumer,Office Supplies,3120.12,894.59,2021,3,2021-03-01
2021-03-16,North,Beta,5,41.22,Consumer,Furniture,206.1,41.73,2021,3,2021-03-01
2021-03-16,West,Beta,3,660.25,Home Office,Furniture,1980.75,449.77,2021,3,2021-03-01
2021-03-17,East,Gamma,5,596.73,Consumer,Office Supplies,2983.65,863.21,2021,3,2021-03-01
2021-03-19,North,Gamma,5,136.85,Corporate,Office Supplies,684.25,158.52,2021,3,2021-03-01
2021-03-19,East,Alpha,5,385.3,Consumer,Electronics,1926.5,298.5,2021,3,2021-03-01
2021-03-20,West,Epsilon,8,767.39,Consumer,Furniture,6139.12,2035.14,2021,3,2021-03-01
2021-03-21,North,Delta,6,889.71,Corporate,Electronics,5338.26,739.88,2021,3,2021-03-01
2021-03-22,East,Gamma,2,495.21,Consumer,Office Supplies,990.42,103.0,2021,3,2021-03-01
2021-03-23,West,Epsilon,7,183.7,Corporate,Furniture,1285.9,144.59,2021,3,2021-03-01
2021-03-23,North,Gamma,7,842.9,Consumer,Office Supplies,5900.3,497.44,2021,3,2021-03-01
2021-03-24,East,Gamma,5,479.98,Consumer,Office Supplies,2399.9,329.63,2021,3,2021-03-01
2021-03-25,South,Gamma,2,510.95,Consumer,Office Supplies,1021.9,101.39,2021,3,2021-03-01
2021-03-27,West,Gamma,4,673.03,Consumer,Office Supplies,2692.12,72.63,2021,3,2021-03-01
2021-03-28,South,Epsilon,3,107.77,Home Office,Furniture,323.31,49.19,2021,3,2021-03-01
2021-03-28,South,Delta,5,762.6,Corporate,Electronics,3813.0,559.25,2021,3,2021-03-01
2021-03-29,North,Delta,2,316.92,Home Office,Electronics,633.84,-11.45,2021,3,2021-03-01
2021-03-30,South,Beta,5,597.33,Consumer,Furniture,2986.65,880.14,2021,3,2021-03-01
2021-03-31,South,Gamma,3,633.27,Home Office,Office Supplies,1899.81,468.88,2021,3,2021-03-01
2021-03-31,West,Beta,5,190.71,Corporate,Furniture,953.55,52.8,2021,3,2021-03-01
2021-03-31,West,Gamma,4,561.9,Consumer,Office Supplies,2247.6,98.51,2021,3,2021-03-01
2021-03-31,North,Gamma,5,102.56,Corporate,Office Supplies,512.8,65.94,2021,3,2021-03-01
2021-04-01,West,Alpha,3,968.98,Corporate,Electronics,2906.94,105.16,2021,4,2021-04-01
2021-04-02,East,Gamma,3,389.67,Corporate,Office Supplies,1169.01,126.52,2021,4,2021-04-01
2021-04-02,North,Beta,2,188.96,Consumer,Furniture,377.92,72.21,2021,4,2021-04-01
2021-04-02,North,Alpha,5,26.72,Home Office,Electronics,133.6,14.35,2021,4,2021-04-01
2021-04-03,South,Beta,5,579.72,Consumer,Furniture,2898.6,589.81,2021,4,2021-04-01
2021-04-03,North,Delta,9,877.72,Consumer,Electronics,7899.48,2498.85,2021,4,2021-04-01
2021-04-04,South,Gamma,5,192.29,Consumer,Office Supplies,961.45,28.89,2021,4,2021-04-01
2021-04-05,North,Epsilon,5,656.9,Corporate,Furniture,3284.5,223.63,2021,4,2021-04-01
2021-04-05,West,Delta,3,230.3,Consumer,Electronics,690.9,49.83,2021,4,2021-04-01
2021-04-05,West,Beta,3,321.17,Consumer,Furniture,963.51,50.69,2021,4,2021-04-01
2021-04-06,South,Delta,5,394.91,Consumer,Electronics,1974.55,446.53,2021,4,2021-04-01
2021-04-06,East,Gamma,6,489.15,Consumer,Office Supplies,2934.9,147.72,2021,4,2021-04-01
2021-04-06,East,Alpha,5,244.94,Consumer,Electronics,1224.7,342.67,2021,4,2021-04-01
2021-04-08,East,Delta,2,987.72,Consumer,Electronics,1975.44,173.47,2021,4,2021-04-01
2021-04-08,West,Delta,4,87.99,Consumer,Electronics,351.96,44.64,2021,4,2021-04-01
2021-04-09,North,Gamma,6,798.58,Consumer,Office Supplies,4791.48,418.84,2021,4,2021-04-01
2021-04-09,West,Beta,7,605.3,Corporate,Furniture,4237.1,579.83,2021,4,2021-04-01
2021-04-09,West,Epsilon,1,366.77,Consumer,Furniture,366.77,42.33,2021,4,2021-04-01
2021-04-10,South,Gamma,2,86.14,Consumer,Office Supplies,172.28,28.47,2021,4,2021-04-01
2021-04-12,South,Epsilon,3,781.84,Consumer,Furniture,2345.52,678.23,2021,4,2021-04-01
2021-04-12,East,Delta,8,926.97,Corporate,Electronics,7415.76,2294.04,2021,4,2021-04-01
2021-04-13,South,Alpha,2,103.98,Consumer,Electronics,207.96,-15.98,2021,4,2021-04-01
2021-04-14,West,Epsilon,2,41.89,Consumer,Furniture,83.78,-4.49,2021,4,2021-04-01
2021-04-14,East,Beta,4,505.69,Consumer,Furniture,2022.76,391.14,2021,4,2021-04-01
2021-04-15,West,Epsilon,4,495.57,Consumer,Furniture,1982.28,220.91,2021,4,2021-04-01
2021-04-16,North,Gamma,3,297.04,Consumer,Office Supplies,891.12,174.6,2021,4,2021-04-01
2021-04-17,South,Gamma,3,974.01,Corporate,Office Supplies,2922.03,664.11,2021,4,2021-04-01
2021-04-18,North,Epsilon,4,989.36,Corporate,Furniture,3957.44,1262.17,2021,4,2021-04-01
2021-04-19,North,Epsilon,4,92.39,Consumer,Furniture,369.56,41.84,2021,4,2021-04-01
2021-04-19,South,Delta,3,75.96,Home Office,Electronics,227.88,39.44,2021,4,2021-04-01
2021-04-21,East,Gamma,3,352.51,Consumer,Office Supplies,1057.53,94.33,2021,4,2021-04-01
2021-04-21,North,Gamma,3,951.52,Consumer,Office Supplies,2854.56,448.87,2021,4,2021-04-01
2021-04-21,West,Delta,5,23.54,Corporate,Electronics,117.7,-6.67,2021,4,2021-04-01
2021-04-21,South,Alpha,2,448.85,Consumer,Electronics,897.7,8.79,2021,4,2021-04-01
2021-04-23,East,Alpha,8,995.1,Consumer,Electronics,7960.8,2629.61,2021,4,2021-04-01
2021-04-23,North,Alpha,6,435.05,Consumer,Electronics,2610.3,865.06,2021,4,2021-04-01
2021-04-24,West,Gamma,1,353.7,Consumer,Office Supplies,353.7,-17.21,2021,4,2021-04-01
2021-04-25,East,Alpha,3,845.01,Corporate,Electronics,2535.03,46.74,2021,4,2021-04-01
2021-04-25,South,Beta,5,985.69,Corporate,Furniture,4928.45,1185.3,2021,4,2021-04-01
2021-04-26,South,Alpha,4,742.42,Consumer,Electronics,2969.68,175.57,2021,4,2021-04-01
2021-04-27,West,Beta,5,289.67,Corporate,Furniture,1448.35,119.1,2021,4,2021-04-01
2021-04-27,South,Beta,5,462.73,Corporate,Furniture,2313.65,33.68,2021,4,2021-04-01
2021-04-27,West,Beta,5,571.49,Corporate,Furniture,2857.45,799.09,2021,4,2021-04-01
2021-04-28,South,Delta,3,926.08,Corporate,Electronics,2778.24,258.86,2021,4,2021-04-01
2021-04-28,South,Alpha,5,947.75,Home Office,Electronics,4738.75,1241.31,2021,4,2021-04-01
2021-04-30,South,Beta,6,854.2,Consumer,Furniture,5125.2,445.27,2021,4,2021-04-01
2021-05-02,East,Beta,5,365.52,Home Office,Furniture,1827.6,567.99,2021,5,2021-05-01
2021-05-02,South,Gamma,2,676.69,Consumer,Office Supplies,1353.38,38.26,2021,5,2021-05-01
2021-05-02,West,Delta,3,677.1,Corporate,Electronics,2031.3,673.6,2021,5,2021-05-01
2021-05-03,North,Alpha,6,54.78,Home Office,Electronics,328.68,20.23,2021,5,2021-05-01
2021-05-06,East,Delta,3,800.76,Corporate,Electronics,2402.28,94.7,2021,5,2021-05-01
2021-05-06,East,Beta,8,700.17,Home Office,Furniture,5601.36,1453.95,2021,5,2021-05-01
2021-05-07,West,Gamma,5,222.61,Home Office,Office Supplies,1113.05,317.35,2021,5,2021-05-01
2021-05-08,East,Epsilon,5,22.52,Consumer,Furniture,112.6,-21.7,2021,5,2021-05-01
2021-05-08,South,Beta,7,553.78,Corporate,Furniture,3876.46,348.89,2021,5,2021-05-01
2021-05-08,West,Alpha,3,949.39,Home Office,Electronics,2848.17,645.91,2021,5,2021-05-01
2021-05-10,West,Delta,3,908.22,Consumer,Electronics,2724.66,80.8,2021,5,2021-05-01
2021-05-10,South,Beta,6,879.16,Consumer,Furniture,5274.96,1308.76,2021,5,2021-05-01
2021-05-10,West,Beta,5,912.16,Corporate,Furniture,4560.8,111.7,2021,5,2021-05-01
2021-05-11,South,Gamma,11,84.89,Consumer,Office Supplies,933.79,111.46,2021,5,2021-05-01
2021-05-11,East,Gamma,2,94.52,Consumer,Office Supplies,189.04,0.53,2021,5,2021-05-01
2021-05-11,North,Delta,4,386.77,Consumer,Electronics,1547.08,97.09,2021,5,2021-05-01
2021-05-12,West,Beta,2,128.11,Corporate,Furniture,256.22,53.21,2021,5,2021-05-01
2021-05-13,East,Beta,4,261.01,Corporate,Furniture,1044.04,193.49,2021,5,2021-05-01
2021-05-13,South,Gamma,2,95.72,Corporate,Office Supplies,191.44,-14.62,2021,5,2021-05-01
2021-05-14,South,Epsilon,6,28.25,Consumer,Furniture,169.5,-45.47,2021,5,2021-05-01
2021-05-15,East,Gamma,7,413.26,Corporate,Office Supplies,2892.82,144.82,2021,5,2021-05-01
2021-05-17,North,Gamma,6,534.27,Home Office,Office Supplies,3205.62,101.61,2021,5,2021-05-01
2021-05-18,North,Beta,1,198.81,Consumer,Furniture,198.81,39.25,2021,5,2021-05-01
2021-05-19,South,Epsilon,3,918.46,Consumer,Furniture,2755.38,307.13,2021,5,2021-05-01
2021-05-20,West,Delta,3,863.02,Home Office,Electronics,2589.06,794.43,2021,5,2021-05-01
2021-05-21,South,Beta,3,550.12,Consumer,Furniture,1650.36,464.47,2021,5,2021-05-01
2021-05-23,North,Delta,6,82.44,Consumer,Electronics,494.64,78.79,2021,5,2021-05-01
2021-05-23,East,Alpha,3,218.58,Consumer,Electronics,655.74,1.93,2021,5,2021-05-01
2021-05-24,South,Epsilon,5,928.56,Consumer,Furniture,4642.8,921.41,2021,5,2021-05-01
2021-05-24,East,Alpha,4,542.27,Consumer,Electronics,2169.08,403.98,2021,5,2021-05-01
2021-05-24,South,Gamma,3,935.81,Consumer,Office Supplies,2807.43,946.3,2021,5,2021-05-01
2021-05-25,South,Beta,3,492.07,Consumer,Furniture,1476.21,345.51,2021,5,2021-05-01
2021-05-25,West,Beta,6,465.47,Consumer,Furniture,2792.82,399.27,2021,5,2021-05-01
2021-05-26,East,Alpha,1,220.72,Consumer,Electronics,220.72,29.17,2021,5,2021-05-01
2021-05-26,East,Beta,3,322.09,Consumer,Furniture,966.27,61.17,2021,5,2021-05-01
2021-05-27,North,Epsilon,3,843.27,Consumer,Furniture,2529.81,184.77,2021,5,2021-05-01
2021-05-27,South,Delta,7,929.32,Corporate,Electronics,6505.24,340.8,2021,5,2021-05-01
2021-05-28,South,Alpha,5,643.0,Home Office,Electronics,3215.0,838.86,2021,5,2021-05-01
2021-05-29,West,Epsilon,2,377.87,Consumer,Furniture,755.74,20.01,2021,5,2021-05-01
2021-05-30,South,Gamma,5,316.92,Consumer,Office Supplies,1584.6,137.54,2021,5,2021-05-01
2021-05-31,West,Gamma,4,195.27,Consumer,Office Supplies,781.08,44.37,2021,5,2021-05-01
2021-05-31,South,Delta,1,212.87,Corporate,Electronics,212.87,14.96,2021,5,2021-05-01
2021-06-01,North,Delta,2,689.37,Consumer,Electronics,1378.74,115.95,2021,6,2021-06-01
2021-06-01,West,Alpha,6,841.93,Corporate,Electronics,5051.58,832.09,2021,6,2021-06-01
2021-06-02,South,Alpha,5,432.63,Home Office,Electronics,2163.15,54.89,2021,6,2021-06-01
2021-06-03,South,Delta,3,358.39,Home Office,Electronics,1075.17,320.16,2021,6,2021-06-01
2021-06-03,West,Epsilon,4,55.39,Consumer,Furniture,221.56,-1.31,2021,6,2021-06-01
2021-06-03,West,Alpha,2,469.89,Consumer,Electronics,939.78,271.07,2021,6,2021-06-01
2021-06-04,South,Epsilon,3,541.07,Consumer,Furniture,1623.21,15.86,2021,6,2021-06-01
2021-06-05,South,Alpha,6,474.55,Home Office,Electronics,2847.3,308.84,2021,6,2021-06-01
2021-06-06,West,Gamma,3,198.88,Consumer,Office Supplies,596.64,103.66,2021,6,2021-06-01
2021-06-06,North,Gamma,3,283.16,Corporate,Office Supplies,849.48,76.64,2021,6,2021-06-01
2021-06-07,North,Alpha,5,959.2,Consumer,Electronics,4796.0,568.36,2021,6,2021-06-01
2021-06-08,West,Beta,5,420.54,Consumer,Furniture,2102.7,547.46,2021,6,2021-06-01
2021-06-09,North,Alpha,2,982.62,Corporate,Electronics,1965.24,153.57,2021,6,2021-06-01
2021-06-09,East,Beta,5,384.39,Home Office,Furniture,1921.95,351.9,2021,6,2021-06-01
2021-06-10,East,Epsilon,2,718.93,Consumer,Furniture,1437.86,382.73,2021,6,2021-06-01
2021-06-11,South,Beta,5,494.44,Home Office,Furniture,2472.2,201.23,2021,6,2021-06-01
2021-06-11,South,Beta,2,742.02,Home Office,Furniture,1484.04,309.17,2021,6,2021-06-01
2021-06-14,North,Delta,2,447.09,Consumer,Electronics,894.18,232.22,2021,6,2021-06-01
2021-06-15,North,Alpha,6,34.77,Consumer,Electronics,208.62,20.25,2021,6,2021-06-01
2021-06-15,West,Alpha,2,192.11,Consumer,Electronics,384.22,-9.57,2021,6,2021-06-01
2021-06-16,South,Beta,3,487.09,Corporate,Furniture,1461.27,52.93,2021,6,2021-06-01
2021-06-16,East,Delta,2,102.33,Home Office,Electronics,204.66,62.37,2021,6,2021-06-01
2021-06-17,East,Gamma,4,193.37,Consumer,Office Supplies,773.48,190.35,2021,6,2021-06-01
2021-06-19,East,Alpha,6,571.0,Consumer,Electronics,3426.0,990.37,2021,6,2021-06-01
2021-06-19,North,Epsilon,5,224.28,Consumer,Furniture,1121.4,271.8,2021,6,2021-06-01
2021-06-21,North,Delta,2,971.08,Consumer,Electronics,1942.16,52.02,2021,6,2021-06-01
2021-06-21,East,Gamma,1,771.9,Consumer,Office Supplies,771.9,71.36,2021,6,2021-06-01
2021-06-22,South,Delta,5,236.13,Corporate,Electronics,1180.65,153.44,2021,6,2021-06-01
2021-06-22,North,Gamma,4,212.22,Consumer,Office Supplies,848.88,9.01,2021,6,2021-06-01
2021-06-22,South,Beta,3,595.54,Consumer,Furniture,1786.62,491.55,2021,6,2021-06-01
2021-06-26,East,Alpha,4,69.95,Corporate,Electronics,279.8,78.22,2021,6,2021-06-01
2021-06-26,North,Alpha,4,930.68,Corporate,Electronics,3722.72,911.92,2021,6,2021-06-01
2021-06-26,East,Delta,5,845.23,Consumer,Electronics,4226.15,1037.81,2021,6,2021-06-01
2021-06-30,North,Gamma,6,855.48,Home Office,Office Supplies,5132.88,457.64,2021,6,2021-06-01
2021-07-01,North,Epsilon,6,523.0,Consumer,Furniture,3138.0,904.82,2021,7,2021-07-01
2021-07-02,North,Epsilon,3,97.4,Corporate,Furniture,292.2,18.31,2021,7,2021-07-01
2021-07-03,South,Alpha,5,572.53,Consumer,Electronics,2862.65,682.44,2021,7,2021-07-01
2021-07-05,North,Gamma,5,101.93,Consumer,Office Supplies,509.65,85.15,2021,7,2021-07-01
2021-07-06,North,Delta,5,871.35,Consumer,Electronics,4356.75,1306.95,2021,7,2021-07-01
2021-07-06,North,Beta,5,122.97,Corporate,Furniture,614.85,47.85,2021,7,2021-07-01
2021-07-06,East,Alpha,3,325.61,Consumer,Electronics,976.83,268.99,2021,7,2021-07-01
2021-07-07,South,Beta,4,262.21,Consumer,Furniture,1048.84,133.32,2021,7,2021-07-01
2021-07-07,North,Gamma,5,675.24,Consumer,Office Supplies,3376.2,703.36,2021,7,2021-07-01
